Open,Close,Low,High,Volume,TotalPrice,NumTransactions,Mean,Timestamp
61591.180000,61343.920000,61275.610000,61658.520000,24.015030,109178420.810000,1778,61405.186057,1719491469836
61344.160000,61220.000000,61220.000000,61364.870000,5.810170,24388962.210000,398,61278.799523,1719491529936
61220.000000,61263.160000,61210.930000,61287.740000,5.736780,22356070.630000,365,61249.508575,1719491593061
61282.000000,61270.000000,61240.010000,61286.000000,0.696070,5390885.440000,88,61260.061818,1719491658139
61274.310000,61232.340000,61172.640000,61284.000000,2.913510,16709638.360000,273,61207.466520,1719491727221
61220.010000,61239.720000,61211.490000,61243.990000,1.217550,4959806.750000,81,61232.182099,1719491795277
61239.450000,61214.580000,61214.580000,61239.450000,1.085360,2816379.370000,46,61225.638478,1719491863420
61200.000000,61197.000000,61175.770000,61200.000000,1.175930,5446418.950000,89,61195.718539,1719491923487
61200.000000,61239.560000,61200.000000,61246.600000,0.789520,2877603.080000,47,61225.597447,1719491995539
61241.540000,61289.410000,61235.000000,61289.410000,1.671450,5574443.680000,91,61257.622857,1719492066639
61285.990000,61298.020000,61278.010000,61305.380000,1.699380,5515993.760000,90,61288.819556,1719492145766
61298.020000,61235.480000,61235.480000,61298.020000,0.320310,2573948.800000,42,61284.495238,1719492205848
61235.410000,61213.620000,61211.000000,61253.820000,1.327690,5694202.290000,93,61227.981613,1719492279332
61213.610000,61180.000000,61179.890000,61226.530000,0.617710,2020094.560000,33,61214.986667,1719492340991
61190.000000,61171.170000,61171.170000,61202.930000,1.185220,14806171.880000,242,61182.528430,1719492403076
61171.180000,61170.210000,61164.350000,61195.990000,0.491470,4160035.290000,68,61176.989559,1719492489333
61170.220000,61175.080000,61154.610000,61176.760000,1.704120,8562853.250000,140,61163.237500,1719492562225
61189.850000,61176.710000,61154.860000,61189.860000,1.313460,5689194.390000,93,61174.133226,1719492633294
61176.710000,61254.780000,61176.710000,61254.780000,0.945290,2020066.640000,33,61214.140606,1719492707377
